${0},,
"${0} ${1} already exists.","${0} ${1} موجودة من قبل.",
"${0} ${1} does not exist","${0} ${1} غير موجود",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} تم تعديله بعد التحميل يرجى إعادة تحميل الإدخال.",
"${0} ${1} is linked with existing records.","${0} ${1} مرطبت بسجل موجود.",
"${0} account not set in Inventory Settings.","${0} لم يتم تعيين الحساب في إعدادات المخزون.",
"${0} already saved","${0} تم حفظ بالفعل",
"${0} already submitted","${0} تم الارسال بالفعل",
"${0} cancelled","${0} تم الالغاء",
"${0} cannot be cancelled","${0} لا يمكن الالغاء",
"${0} cannot be deleted","${0} لا يمكن الحذف",
"${0} deleted","${0} تم الحذف",
"${0} entries failed","${0} فشل الادخال",
"${0} entries imported","${0} الإدخالات المستوردة",
"${0} entry failed","${0} فشل الإدخال",
"${0} entry imported","${0} الإدخال مستورد",
"${0} fields selected","${0} الحقول المحددة",
"${0} filters applied","${0} تم تطبيق الفيلتر",
"${0} has linked child accounts.","${0} لديه حسابات فرعية مرتبطة.",
"${0} of type ${1} does not exist","${0} من النوع ${1} غير موجود",
"${0} out of ${1}","${0} من أصل ${1}",
"${0} party ${1} is different from ${2}","${0} الطرف ${1} يختلف عن ${2}",
"${0} quantity 1 added.","تمت إضافة كمية ${0} عدد 1.",
"${0} row added.","تمت إضافة صف ${0}.",
"${0} rows","${0} صفوف",
"${0} rows added.","تمت إضافة ${0} صفوف.",
"${0} saved","تم حفظ ${0}",
"${0} shortcuts","${0} اختصارات",
"${0} stored at ${1}","تم تخزين ${0} في ${1}",
"${0} submitted","تم تسجيل ${0}",
"${0} value ${1} does not exist.","قيمة ${0} ${1} غير موجودة.",
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","تم تطبيق فلتر واحد",
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
9888900000,,
"From Lead","من العميل المحتمل",
"Item Code","رمز الصنف",
"A submittable entry is deleted only if it is in the cancelled state.","يُحذف الإدخال القابل للتسجيل فقط إذا كان في حالة ملغاة.",
"Account","الحساب",
"Account ${0} does not exist.","الحساب ${0} غير موجود.",
"Account Entries","إدخالات الحساب",
"Account Name","اسم الحساب",
"Account Type","نوع الحساب",
"Accounting","المحاسبة",
"Accounting Entries","إدخالات المحاسبة",
"Accounting Ledger Entry","قيد دفتر الأستاذ المحاسبي",
"Accounting Settings","إعدادات المحاسبة",
"Accounts","الحسابات",
"Accounts Payable","الحسابات الدائنة",
"Accounts Receivable","الحسابات المدينة",
"Accumulated Depreciation","الاستهلاك المتراكم",
"Action","إجراء",
"Active","نشط",
"Add Account","إضافة حساب",
"Add Customers","إضافة عملاء",
"Add Group","إضافة مجموعة",
"Add Items","إضافة أصناف",
"Add Row","إضافة صف",
"Add Suppliers","إضافة موردين",
"Add Taxes","إضافة ضرائب",
"Add a few customers to create your first sales invoice","أضف بعض العملاء لإنشاء أول فاتورة مبيعات لك",
"Add a few suppliers to create your first purchase invoice","أضف بعض الموردين لإنشاء أول فاتورة شراء لك",
"Add a filter","إضافة عامل تصفية",
"Add a remark","إضافة ملاحظة",
"Add attachment","إضافة مرفق",
"Add invoice terms","إضافة شروط الفاتورة",
"Add products or services that you buy from your suppliers","أضف المنتجات أو الخدمات التي تشتريها من الموردين",
"Add products or services that you sell to your customers","أضف المنتجات أو الخدمات التي تبيعها لعملائك",
"Add transfer terms","إضافة شروط التحويل",
"Add'l Discounts","خصومات إضافية",
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","هناك حاجة إلى ${0} أرقام تسلسلية إضافية لكمية ${1} من ${2}.",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","الكمية الإضافية (${0}) المطلوبة${1} لإجراء تحويل خارجي للصنف ${2} من ${3} بتاريخ ${4}",
Address,العنوان,
"Address Display","عرض العنوان",
"Address Line 1","سطر العنوان 1",
"Address Line 2","سطر العنوان 2",
"Address Name",,
"Administrative Expenses","مصاريف إدارية",
"All","الكل",
"Amount","المبلغ",
"Amount Paid","المبلغ المدفوع",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","المبلغ: ${0} والشطب: ${1} أقل من إجمالي المبلغ المخصص للمراجع: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","المبلغ: ${0} أقل من إجمالي المبلغ المخصص للمراجع: ${1}.",
"Amounts","المبالغ",
"An entry is cancelled only if it is in the submitted state.","يُلغى الإدخال فقط إذا كان في حالة مسجَّلة.",
"An entry is submitted only if it is submittable and is in the saved state.","يُسجَّل الإدخال فقط إذا كان قابلاً للتسجيل وفي حالة محفوظة.",
"An error occurred.","حدث خطأ",
"Applicable anywhere in Frappe Books","ينطبق في أي مكان ضمن Frappe Books",
"Applicable when Quick Search is open","ينطبق عند فتح البحث السريع",
"Applicable when Template Builder is open","ينطبق عند فتح منشئ القوالب",
"Applicable when a entry is open in the Form view or Quick Edit view","ينطبق عند فتح إدخال في عرض النموذج أو عرض التحرير السريع",
"Applicable when the List View of an entry type is open","ينطبق عند فتح عرض القائمة لنوع الإدخال",
"Application of Funds (Assets)","تطبيق الأموال (الأصول)",
"Apply Discount After Tax","تطبيق الخصم بعد الضريبة",
"Apply and view changes made to the print template","تطبيق وعرض التغييرات التي تم إجراؤها على قالب الطباعة",
"April","أبريل",
"Arial","Arial",
"Ascending Order","ترتيب تصاعدي",
"Asset","أصل",
"Attach Image","إرفاق صورة",
"Attachment","المرفقات",
"August","أغسطس",
"Auto Payments","المدفوعات التلقائية",
"Auto Stock Transfer","النقل التلقائي للمخزون",
"Autocomplete","الإكمال التلقائي",
"Back","رجوع",
"Back Reference","مرجع خلفي",
"Bad import data, could not read file.","بيانات استيراد غير صحيحة، تعذر قراءة الملف.",
"Balance","الرصيد",
"Balance Amount","مبلغ الرصيد",
"Balance Sheet","الميزانية العمومية",
"Bank","بنك",
"Bank Accounts","حسابات بنكية",
"Bank Entry","ادخالات البنوك",
"Bank Name","اسم البنك",
"Bank Overdraft Account","حساب مصرفي السحب على المكشوف",
"Barcode","الباركود",
"Base Grand Total","إجمالي المبلغ الأساسي",
"Based On","استنادًا إلى",
"Batch","دفعة",
"Batch not set for row ${0}.","لم يتم تعيين الدفعة للصف ${0}.",
"Batch set for row ${0}.","تم تعيين الدفعة للصف ${0}.",
"Bill Created","تم إنشاء الفاتورة",
"Billing","الفوترة",
"Black","أسود",
"Blue","أزرق",
"Both","كلاهما",
