"${0} ${1} already exists.","${0} ${1} existiert bereits",
"${0} ${1} does not exist","${0} existiert nicht",
"${0} ${1} has been modified after loading","${0} ${1} wurde nach dem Laden geändert",
"${0} ${1} is linked with existing records.","${0} ${1} ist mit bestehenden Datensätzen verknüpft",
"${0} account not set in Inventory Settings.","${0} Konto in den Inventareinstellungen nicht festgelegt",
"${0} already saved","${0} bereits gespeichert",
"${0} already submitted","${0} bereits gebucht",
"${0} cancelled","${0} stornieren",
"${0} cannot be cancelled","${0} kann nicht stornieren werden",
"${0} cannot be deleted","${0} kann nicht gelöscht werden",
"${0} deleted","${0} gelöscht",
"${0} entries failed","${0} Einträge fehlgeschlagen",
"${0} entries imported","${0} Einträge importiert",
"${0} entry failed","${0} Eintrag fehlgeschlagen",
"${0} entry imported","${0} Eintrag importiert",
"${0} fields selected","${0} Felder ausgewählt",
"${0} filters applied","${0} Filter angewendet",
"${0} of type ${1} does not exist","${0} vom Typ ${1} existiert nicht",
"${0} out of ${1}","${0} von ${1}",
"${0} party ${1} is different from ${2}","${0} Geschäftspartner ${1} ist verschieden von ${2}",
"${0} quantity 1 added.","${0} Anzahl 1 hinzugefügt",
"${0} row added.","${0} Zeile hinzugefügt",
"${0} rows","${0} Zeile(n)",
"${0} rows added.","${0} Zeilen hinzugefügt",
"${0} saved","${0} gespeichert",
"${0} shortcuts","${0} Tastaturkürzel",
"${0} stored at ${1}","${0} gespeichert in ${1}",
"${0} submitted","${0} gebucht",
"${0} value ${1} does not exist.","${0} Wert ${1} existiert nicht",
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 Filter angewendet",
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
9888900000,"+49 123 123123",
"A submittable entry is deleted only if it is in the cancelled state.","Ein buchbarer Eintrag wird nur gelöscht, wenn er storniert ist.",
Account,Konto,
"Account ${0} does not exist.","Konto ${0} existiert nicht",
"Account Entries",Konto-Buchungen,
"Account Name","Name des Kontos",
"Account Type",Konto-Typ,
Accounting,Buchhaltung,
"Accounting Entries",Buchungen,
"Accounting Ledger Entry",Buchungen,
"Accounting Settings",Buchungseinstellungen,
Accounts,Konten,
"Accounts Payable",Verbindlichkeiten,
"Accounts Receivable",Forderungen,
"Accumulated Depreciation","kumulierte Abschreibung",
Action,Aktion,
Active,aktiv,
"Add Account","Konto hinzufügen",
"Add Customers","Kunden hinzufügen",
"Add Group","Gruppe hinzufügen",
"Add Items","Artikel hinzufügen",
"Add Row","Zeile hinzufügen",
"Add Suppliers","Lieferanten hinzufügen",
"Add Taxes","Steuern hinzufügen",
"Add a few customers to create your first sales invoice","Fügen Sie ein paar Kunden hinzu, um Ihre erste Verkaufsrechnung zu erstellen.",
"Add a few suppliers to create your first purchase invoice","Fügen Sie ein paar Lieferanten hinzu, um Ihre erste Einkaufsrechnung zu erstellen.",
"Add a filter","Filter hinzufügen",
"Add a remark","Bemerkung hinzufügen",
"Add attachment","Anhang hinzufügen",
"Add invoice terms","Rechnung: Bedingung hinzufügen ",
"Add products or services that you buy from your suppliers","Fügen Sie ein Produkt oder eine Dienstleistung hinzu, die Sie bei Ihrem Lieferanten einkaufen möchten.",
"Add products or services that you sell to your customers","Fügen Sie ein Produkt oder eine Dienstleistung hinzu, die Sie Ihrem Kunden verkaufen möchten.",
"Add transfer terms","Lieferbedingungen hinzufügen",
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","Zusätzliche ${0} Seriennummern erforderlich für ${1} Menge von ${2}",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","Zusätzliche Menge (${0}) erforderlich ${1}, um den Artikel ${2} von ${3} auf ${4} zu übertragen",
Address,Adresse,
"Address Display",Adressanzeige,
"Address Line 1","Anschrift Zeile 1",
"Address Line 2","Anschrift Zeile 2",
"Address Name","Name der Adresse",
"Administrative Expenses",Verwaltungskosten,
All,Alles,
Amount,Betrag,
"Amount Paid","bezahlter Betrag",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Der Betrag: ${0} und Abschreibung: ${1} ist kleiner als der Gesamtbetrag, der den Referenzen zugeordnet ist: ${2}",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Betrag: ${0} ist kleiner als der Gesamtbetrag, der den Referenzen zugewiesen wurde: ${1}",
Amounts,Beträge,
"An entry is cancelled only if it is in the submitted state.","Ein Eintrag wird nur dann storniert, wenn er gebucht ist",
"An entry is submitted only if it is submittable and is in the saved state.","Ein Eintrag wird nur gebucht, wenn er buchbar ist und gespeichert ist.",
"An error occurred.","Es ist ein Fehler aufgetreten",
"Applicable anywhere in Frappe Books","Überall in Frappe Books anwendbar",
"Applicable when Quick Search is open","Anwendbar, wenn die Schnellsuche geöffnet ist",
"Applicable when Template Builder is open","Anwendbar, wenn er Vorlagen-Editor geöffnet ist",
"Applicable when a entry is open in the Form view or Quick Edit view","Anwendbar, wenn ein Eintrag in der Formular- oder Schnellbearbeitungs-Ansicht geöffnet ist",
"Applicable when the List View of an entry type is open","Anwendbar, wenn die Listenansicht eines Eintrags geöffnet ist",
"Application of Funds (Assets)","Verwendung der Mittel (Aktiva)",
"Apply Discount After Tax","Rabatt nach der Besteuerung anwenden",
"Apply and view changes made to the print template","Änderungen an der Druckvorlage übernehmen und anzeigen",
April,,
Arial,,
"Ascending Order","Aufsteigende Sortierung",
Asset,Anlage,
Attachment,Anhang,
August,,
"Auto Payments","Automatische Zahlung",
"Back Reference",Rückverweis,
"Bad import data, could not read file.","Importdaten beschädigt. Konnte die Datei nicht importieren.",
Balance,Kontostand,
"Balance Sheet",Bilanz,
Bank,Bank,
"Bank Accounts",Bankkonten,
"Bank Entry",Bankbuchungen,
"Bank Name",Bankname,
"Bank Overdraft Account",Überziehungskonto,
Barcode,,
"Base Grand Total",Basis-Gesamtbetrag,
"Based On",Saldo-Bezug,
Batch,Gebinde,
"Batch not set for row ${0}.","Gebinde nicht für Zeile ${0} hinterlegt.",
"Batch set for row ${0}.","Gebinde für Zeile ${0} hinterlegt.",
"Bill Created","Rechnung erstellt",
Billing,Abrechnung,
Black,Schwarz,
Blue,Blau,
Both,Beides,
"Both From and To Location cannot be undefined","Die Orte ""Von"" und ""Nach"" können nicht beide undefiniert sein",
Buildings,Gebäude,
Cancel,Abbrechen,
"Cancel ${0}?","${0} stornieren?",
"Cancel or Delete an entry.","Einen Eintrag löschen oder stornieren",
Cancelled,Storniert,
"Cannot Commit Error","Fehler kann nicht eingereicht werden",
"Cannot Delete","Löschen nicht möglich",
"Cannot Export","Export nicht möglich",
"Cannot Import","Import nicht möglich",
"Cannot Open File","Kann Datei nicht öffnen",
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","Kann ${0} ${1} wegen der folgenden ${2} nicht stornieren: ${3}",
"Cannot delete ${0} ""${1}"" because of linked entries.","Kann ${0} ""${1}"" wegen verknüpfter Einträge nicht löschen",
"Cannot perform operation.","Kann die Operation nicht ausführen",
"Cannot read file","Kann die Datei nicht lesen",
"Capital Equipments",Investitionsgüter,
"Capital Stock",Grundkapital,
Cash,Bargeld,
