"${0} ${1} already exists.","${0} ${1} ja existeix.",
"${0} ${1} does not exist",,
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} té relació amb un registre que ja existeix.",
"${0} account not set in Inventory Settings.",,
"${0} already saved",,
"${0} already submitted",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected",,
"${0} filters applied","${0} filtres aplicats",
"${0} has linked child accounts.",,
"${0} of type ${1} does not exist",,
"${0} out of ${1}",,
"${0} party ${1} is different from ${2}",,
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} rows",,
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} value ${1} does not exist.",,
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filtre aplicat",
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.",,
Account,Compte,
"Account ${0} does not exist.",,
"Account Entries","Moviments del compte",
"Account Name","Nom del compte",
"Account Type","Tipus de compte",
Accounting,,
"Accounting Entries",,
"Accounting Ledger Entry",,
"Accounting Settings","Ajustaments de comptabilitat",
Accounts,Accounts,
"Accounts Payable","Comptes per pagaments",
"Accounts Receivable","Comptes d’entrada",
"Accumulated Depreciation","Accumulated Depreciation",
Action,,
Active,,
"Add Account","Afegir compte",
"Add Customers","Afegir clients",
"Add Group","Afegir grup",
"Add Items","Afegir ítems",
"Add Row","Afegir columna",
"Add Suppliers","Afegir proveïdor",
"Add Taxes","Afegir taxes",
"Add a few customers to create your first sales invoice",,
"Add a few suppliers to create your first purchase invoice",,
"Add a filter","Afegir un filtre",
"Add a remark",,
"Add attachment",,
"Add invoice terms",,
"Add products or services that you buy from your suppliers","Afegeix productes o serveis que compris a proveïdors",
"Add products or services that you sell to your customers","Afegeix productes o serveis que venguis a clients",
"Add transfer terms",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,Direcció,
"Address Display","Mostrar direcció",
"Address Line 1","Direcció línea 1",
"Address Line 2","Direcció línea 2",
"Address Name",,
"Administrative Expenses","Despeses administratives",
All,,
Amount,Quantitat,
"Amount Paid",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Quantitat: ${0} i quantitat cancel·lada: ${1} és menor que la quantitat total que figura a les referències: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Quantitat: ${0} és menor que la quantitat total que figura a les referències: ${1}.",
Amounts,,
"An entry is cancelled only if it is in the submitted state.",,
"An entry is submitted only if it is submittable and is in the saved state.",,
"An error occurred.","Hi ha hagut un error.",
"Applicable anywhere in Frappe Books",,
"Applicable when Quick Search is open",,
"Applicable when Template Builder is open",,
"Applicable when a entry is open in the Form view or Quick Edit view",,
"Applicable when the List View of an entry type is open",,
"Application of Funds (Assets)","Aplicació de fons (Actius)",
"Apply Discount After Tax",,
"Apply and view changes made to the print template",,
April,,
Arial,,
"Ascending Order",,
Asset,,
"Attach Image",,
Attachment,,
August,,
"Auto Payments",,
"Auto Stock Transfer",,
Autocomplete,,
"Back Reference",,
"Bad import data, could not read file.",,
Balance,Balanç,
"Balance Sheet","Full de balanç",
Bank,,
"Bank Accounts","Comptes bancaris",
"Bank Entry","Entrada bancària",
"Bank Name","Nom del banc",
"Bank Overdraft Account","Compte bancari d’exedents",
Barcode,,
"Base Grand Total",,
"Based On",,
Batch,,
"Batch not set for row ${0}.",,
"Batch set for row ${0}.",,
"Bill Created","Factura creada",
Billing,,
Black,Negre,
Blue,,
Both,Ambdós,
"Both From and To Location cannot be undefined",,
Buildings,Buildings,
Cancel,Cancel·la,
"Cancel ${0}?",,
"Cancel or Delete an entry.",,
Cancelled,Cancel·lat,
"Cannot Commit Error",,
"Cannot Delete",,
"Cannot Delete Account",,
"Cannot Export",,
"Cannot Import",,
"Cannot Open File",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot open file",,
"Cannot perform operation.",,
"Cannot read file",,
"Capital Equipments","Capital Equipments",
"Capital Stock","Capital Stock",
Cash,Efectiu,
"Cash Entry","Entrades d'efectiu",
"Cash In Hand","Efectiu disponible",
Cashflow,Flux,
"Central Tax",Tributacions,
"Change DB",,
"Change File","Canviar fitxer",
"Change Ref Type",,
"Changes made to settings will be visible on reload.",,
Chargeable,,
