"${0} ${1} already exists.","${0} ${1} ja existeix.",
"${0} ${1} has been modified after loading",,
"${0} ${1} is linked with existing records.","${0} ${1} té relació amb un registre que ja existeix.",
"${0} already exists.","${0} ja existeix.",
"${0} filters applied","${0} filtres aplicats",
"${0} rows",,
"* required fields","* camps necessaris",
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filtre aplicat",
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23/03/2022,,
9888900000,,
Account,Compte,
"Account Entries","Moviments del compte",
"Account Name","Nom del compte",
"Account Type","Tipus de compte",
"Accounting Ledger Entry",,
"Accounting Settings","Ajustaments de comptabilitat",
Accounts,Accounts,
"Accounts Payable","Comptes per pagaments",
"Accounts Receivable","Comptes d’entrada",
"Accumulated Depreciation","Accumulated Depreciation",
"Add Account","Afegir compte",
"Add Customers","Afegir clients",
"Add Group","Afegir grup",
"Add Items","Afegir ítems",
"Add Row","Afegir columna",
"Add Suppliers","Afegir proveïdor",
"Add Taxes","Afegir taxes",
"Add a few customers to create your first invoice","Afegeix alguns clients per a crear la teva primera factura",
"Add a few suppliers to create your first bill","Afegeix alguns proveïdors per a crear la teva primera factura",
"Add a filter","Afegir un filtre",
"Add a remark",,
"Add invoice terms",,
"Add products or services that you buy from your suppliers","Afegeix productes o serveis que compris a proveïdors",
"Add products or services that you sell to your customers","Afegeix productes o serveis que venguis a clients",
Address,Direcció,
"Address Display","Mostrar direcció",
"Address Line 1","Direcció línea 1",
"Address Line 2","Direcció línea 2",
"Administrative Expenses","Despeses administratives",
All,,
"Allow Telemetry","Permetre telemetria",
Amount,Quantitat,
"Amount (Company Currency)","Quantitat (Moneda de la empresa)",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Quantitat: ${0} i quantitat cancel·lada: ${1} és menor que la quantitat total que figura a les referències: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Quantitat: ${0} és menor que la quantitat total que figura a les referències: ${1}.",
"An error occurred.","Hi ha hagut un error.",
"Anonymized Telemetry","Telemetria anònima",
"Application of Funds (Assets)","Aplicació de fons (Actius)",
Arial,,
"Ascending Order",,
Asset,,
"Assign Imported Labels","Asignar etiquetes importades",
Back,Enrere,
"Bad import data.","Dades importades amb errors.",
Balance,Balanç,
"Balance Sheet","Full de balanç",
Bank,,
"Bank Accounts","Comptes bancaris",
"Bank Entry","Entrada bancària",
"Bank Name","Nom del banc",
"Bank Overdraft Account","Compte bancari d’exedents",
"Base Error",,
"Based On",,
Basic,,
"Basic I",,
"Basic II",,
Bill,Factura,
"Bill Created","Factura creada",
"Bill No","Factura No",
Black,Negre,
Blue,,
Both,Ambdós,
Buildings,Buildings,
Business,,
Cancel,Cancel·la,
"Cancel ${0} ${1}?",,
Cancelled,Cancel·lat,
"Cannot Commit Error",,
"Capital Equipments","Capital Equipments",
"Capital Stock","Capital Stock",
Cash,Efectiu,
"Cash Entry","Entrades d'efectiu",
"Cash In Hand","Efectiu disponible",
Cashflow,Flux,
"Central Tax",Tributacions,
"Change File","Canviar fitxer",
"Change Ref Type",,
Chargeable,,
"Chart Of Accounts Reviewed","Diagrama de comptes revisat",
"Chart of Accounts","Diagrama de comptes",
"Check for Updates","Comprova si hi ha actualitzacions",
"Checking for updates","S'estan comprovant les actualitzacions",
Cheque,Xec,
"City / Town",Ciutat,
Clear,,
"Clearance Date","Data de neteja",
"Click to create","Fes clic per crear",
Close,Tancar,
Closing,,
"Closing (Cr)","Tancant (Cr)",
"Closing (Dr)","Tancant (Dr)",
Color,Color,
"Commission on Sales","Comisions de venda",
Common,Comuns,
"Common Items","Elements comuns",
"Company Address","Adreça de l'empresa",
"Company Logo","Logotip de l'empresa",
"Company Name","Nom de l'empresa",
"Company Settings","Paràmetres de l'empresa",
"Company Setup","Configuració de l'empresa",
Completed,Completat,
Condition,,
"Consolidate Columns",,
Contains,Conté,
"Contra Entry","Entrades en contra",
"Cost of Goods Sold","Cost dels béns venuts",
"Could not import ${0} ${1}.","No s'ha pogut importar ${0} ${1}.",
"Could not select file.","No s'ha pogut seleccionar l'fitxer.",
Country,País,
"Country Code",,
"Country code used to initialize regional settings.",,
Courier,,
Cr.,,
Create,Crear,
"Create Bill","Crear factura",
"Create Demo",,
"Create Invoice","Crear alabarà",
"Create Purchase",,
"Create Sale",,
"Create a new file and store it in your computer.","Crea un fitxer nou i emmagatzema'l a l'ordinador.",
"Create a new file or select an existing one from your computer","Crea un fitxer nou o selecciona un existent des del teu ordinador",
"Create your first bill and mail it to your supplier","Crea la primera factura i envia-la al proveïdor",
"Create your first invoice and mail it to your customer","Crea la teva primera factura i envia-la al client",
Created,,
"Created By",,
"Creating Items and Parties",,
"Creating Journal Entries",,
"Creating Purchase Invoices",,
Credit,Crèdit,
"Credit Card Entry","Entrada de targeta de crèdit",
"Credit Note","Nota de crèdit",
Creditors,Creditors,
Currency,Divisa,
"Currency Name","Nom de la divisa",
Current,Actual,
"Current Assets","Actius actuals",
"Current Liabilities","Obligacions actuals",
"Custom Hex","Hexadecimal personalitzat",
Customer,Customer,
"Customer Created","Client creat",
"Customer Currency","Divisa del client",
Customers,Clients,
Customise,Personalitzar,
"Customize your invoices by adding a logo and address details","Personalitza les teves factures afegint-hi un logotip i l'adreça",
Dashboard,Tauler,
"Data Import","Importar dades",
"Database Error",,
"Database file: ${0}",,
Date,Data,
"Date Format","Format de la data",
Day,,
Debit,Dèbit,
"Debit Note","Nota de dèbil",
Debtors,Deutors,
"Default Account","Compte per defecte",
Delete,Eliminar,
"Delete ${0} ${1}?",,
"Delete ${0}?",,
Depreciation,Depreciació,
"Depreciation Entry","Entrada de depreciació",
Description,Descripció,
Details,Detalls,
"Direct Expenses","Despeses directes",
"Direct Income","Ingressos directes",
"Disables telemetry. No data will be collected, you are completely invisble to us.",,
"Display Logo in Invoice","Mostra el logotip a la factura",
"Display Precision","Precisió de la pantalla",
"Display Precision should have a value between 0 and 9.","Precisión de la pantalla ha de tenir un valor entre 0 i 9.",
"Dividends Paid","Divindends pagats",
Docs,,
Documentation,Documentació,
"Does Not Contain","No conté",
"Don't Log Anything","No registrar",
"Don't Log Usage","No registrar l'ús",
"Download Update","Descarregar actualització",
"Downloading update","Descarregant actualització",
Dr.,,
Draft,Esborrany,
Duplicate,Duplicar,
