${0},,
"${0} ${1} already exists.","${0} ${1} já existe.",
"${0} ${1} does not exist","${0} ${1} não existe",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} foi modificado após o carregamento. Por favor, recarregue o registro",
"${0} ${1} is linked with existing records.","${0} ${1} está ligado aos registos existentes.",
"${0} account not set in Inventory Settings.","A conta ${0} não foi definida nas Configurações de Inventário",
"${0} already saved","${0} já foi salvo",
"${0} already submitted","${0} já foi enviado",
"${0} cancelled","${0} cancelado",
"${0} cannot be cancelled","${0} não pode ser cancelado",
"${0} cannot be deleted","${0} não pode ser deletado",
"${0} deleted","${0} deletado",
"${0} entries failed","${0} entradas falharam",
"${0} entries imported","${0} entradas importados",
"${0} entry failed","Falha na entrada de ${0}",
"${0} entry imported","Entrada ${0} importada",
"${0} fields selected","${0} campos selecionados",
"${0} filters applied","${0} filtros aplicados",
"${0} has linked child accounts.","${0} possui contas filhas vinculadas",
"${0} of type ${1} does not exist","${0} do tipo ${1} não existe",
"${0} out of ${1}","${0} de ${1}",
"${0} party ${1} is different from ${2}","O contato ${0} ${1} é diferente do ${2}",
"${0} quantity 1 added.","1 qtd adicionada para ${0}.",
"${0} row added.","${0} linha(s) adicionada(s).",
"${0} rows","${0} linhas",
"${0} rows added.","${0} linhas adicionadas",
"${0} saved","${0} salvos",
"${0} shortcuts","${0} atalhos",
"${0} stored at ${1}","${0} armazenado em ${1}",
"${0} submitted","${0} enviado",
"${0} value ${1} does not exist.","O valor ${0} para ${0} não existe.",
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filtro aplicado",
2022-03-23,,
"23 Mar, 2022","23 de Março de 2022",
23-03-2022,,
23.03.2022,,
23/03/2022,,
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.","Uma entrada submissível só pode ser deletada se estiver cancelada.",
Account,Conta,
"Account ${0} does not exist.","Conta ${0} não existe.",
"Account Entries","Registros de Conta",
"Account Name","Nome da conta",
"Account Type","Tipo de conta",
Accounting,Financeiro,
"Accounting Entries",Lançamentos financeiros,
"Accounting Ledger Entry","Entrada no livro diário",
"Accounting Settings","Configurações financeiras",
Accounts,Contas,
"Accounts Payable","Contas a pagar",
"Accounts Receivable","Contas a Receber",
"Accumulated Depreciation","Depreciação Acumulada",
Action,Ação,
Active,Ativo,
"Add Account","Adicionar conta",
"Add Customers","Adicionar clientes",
"Add Group","Adicionar grupo",
"Add Items","Adicionar artigos",
"Add Row","Adicionar linha",
"Add Suppliers","Adicionar Fornecedores",
"Add Taxes","Acrescentar Impostos",
"Add a few customers to create your first sales invoice","Adicione alguns clientes para criar sua primeira fatura de venda",
"Add a few suppliers to create your first purchase invoice","Adicione alguns fornecedores para criar sua primeira fatura de compra",
"Add a filter","Adicionar um filtro",
"Add a remark","Adicione uma observação",
"Add attachment","Adicionar anexo",
"Add invoice terms","Adicione termos de fatura",
"Add products or services that you buy from your suppliers","Adicione produtos ou serviços que você compra de seus fornecedores",
"Add products or services that you sell to your customers",Adicione produtos ou serviços que você vende para seus clientes,
"Add transfer terms","Adicionar termos de transferência",
"Add'l Discounts","Descontos Adicionais",
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","${0} números de série adicionais são requeridos para ${1} qtd de ${2}",
